This 1 round, Not Changed Nodes = 4680, Run Times = 1.13
This 2 round, Not Changed Nodes = 4856, Run Times = 1.109
This 3 round, Not Changed Nodes = 5413, Run Times = 1.098
This 4 round, Not Changed Nodes = 5807, Run Times = 1.101
This 5 round, Not Changed Nodes = 5885, Run Times = 1.1
This 6 round, Not Changed Nodes = 6129, Run Times = 1.143
This 7 round, Not Changed Nodes = 6278, Run Times = 1.099
This 8 round, Not Changed Nodes = 6287, Run Times = 1.136
This 9 round, Not Changed Nodes = 6294, Run Times = 1.118
This 10 round, Not Changed Nodes = 6297, Run Times = 1.127
This 11 round, Not Changed Nodes = 6300, Run Times = 1.104
This 12 round, Not Changed Nodes = 6301, Run Times = 1.102
This 13 round, Not Changed Nodes = 6298, Run Times = 1.104
This 14 round, Not Changed Nodes = 6299, Run Times = 1.102
This 15 round, Not Changed Nodes = 6300, Run Times = 1.099
This 16 round, Not Changed Nodes = 6300, Run Times = 1.101
This 17 round, Not Changed Nodes = 6301, Run Times = 1.102
This 18 round, Not Changed Nodes = 6300, Run Times = 1.115
This 19 round, Not Changed Nodes = 6301, Run Times = 1.134
This 20 round, Not Changed Nodes = 6300, Run Times = 1.104
This 21 round, Not Changed Nodes = 6301, Run Times = 1.108
This 22 round, Not Changed Nodes = 6301, Run Times = 1.098
This 23 round, Not Changed Nodes = 6300, Run Times = 1.116
This 24 round, Not Changed Nodes = 6301, Run Times = 1.1
This 25 round, Not Changed Nodes = 6300, Run Times = 1.098
This 26 round, Not Changed Nodes = 6299, Run Times = 1.1
This 27 round, Not Changed Nodes = 6301, Run Times = 1.099
This 28 round, Not Changed Nodes = 6300, Run Times = 1.099
This 29 round, Not Changed Nodes = 6301, Run Times = 1.102
This 30 round, Not Changed Nodes = 6301, Run Times = 1.1
This 31 round, Not Changed Nodes = 6297, Run Times = 1.101
This 32 round, Not Changed Nodes = 6295, Run Times = 1.098
This 33 round, Not Changed Nodes = 6297, Run Times = 1.099
This 34 round, Not Changed Nodes = 6301, Run Times = 1.1
This 35 round, Not Changed Nodes = 6301, Run Times = 1.111
This 36 round, Not Changed Nodes = 6301, Run Times = 1.099
This 37 round, Not Changed Nodes = 6301, Run Times = 1.098
This 38 round, Not Changed Nodes = 6301, Run Times = 1.101
This 39 round, Not Changed Nodes = 6301, Run Times = 1.1
This 40 round, Not Changed Nodes = 6301, Run Times = 1.105
This 41 round, Not Changed Nodes = 6301, Run Times = 1.1
This 42 round, Not Changed Nodes = 6301, Run Times = 1.099
This 43 round, Not Changed Nodes = 6301, Run Times = 1.099
This 44 round, Not Changed Nodes = 6299, Run Times = 1.108
This 45 round, Not Changed Nodes = 6301, Run Times = 1.098
This 46 round, Not Changed Nodes = 6301, Run Times = 1.098
This 47 round, Not Changed Nodes = 6301, Run Times = 1.1
This 48 round, Not Changed Nodes = 6301, Run Times = 1.097
This 49 round, Not Changed Nodes = 6301, Run Times = 1.096
This 50 round, Not Changed Nodes = 6300, Run Times = 1.098
This 51 round, Not Changed Nodes = 6301, Run Times = 1.1
This 52 round, Not Changed Nodes = 6301, Run Times = 1.102
This 53 round, Not Changed Nodes = 6301, Run Times = 1.098
This 54 round, Not Changed Nodes = 6301, Run Times = 1.1
This 55 round, Not Changed Nodes = 6301, Run Times = 1.099
This 56 round, Not Changed Nodes = 6301, Run Times = 1.1
This 57 round, Not Changed Nodes = 6300, Run Times = 1.104
This 58 round, Not Changed Nodes = 6301, Run Times = 1.099
This 59 round, Not Changed Nodes = 6301, Run Times = 1.109
This 60 round, Not Changed Nodes = 6301, Run Times = 1.098
This 61 round, Not Changed Nodes = 6301, Run Times = 1.1
This 62 round, Not Changed Nodes = 6301, Run Times = 1.101
This 63 round, Not Changed Nodes = 6301, Run Times = 1.104
This 64 round, Not Changed Nodes = 6299, Run Times = 1.104
This 65 round, Not Changed Nodes = 6298, Run Times = 1.098
This 66 round, Not Changed Nodes = 6301, Run Times = 1.1
This 67 round, Not Changed Nodes = 6301, Run Times = 1.1
This 68 round, Not Changed Nodes = 6301, Run Times = 1.101
This 69 round, Not Changed Nodes = 6301, Run Times = 1.1
This 70 round, Not Changed Nodes = 6301, Run Times = 1.099
